name,stars_count,forks_count,watchers,pull_requests,primary_language,languages_used,commit_count,created_at,licence
redash,22483,3894,590,3623,Python,"['Python', 'JavaScript', 'TypeScript', 'Less', 'HTML', 'Shell', 'Dockerfile', 'CSS', 'Makefile', 'Mako']",7298.0,2013-10-28T13:19:39Z,"BSD 2-Clause ""Simplified"" License"
coder2gwy,22463,3342,356,4,,,58.0,2020-12-30T14:40:50Z,
go,22431,6142,1656,138,,,370.0,2013-08-14T08:33:55Z,The Unlicense
vapor,22427,1387,530,1345,Swift,"['Swift', 'C', 'Shell', 'HTML']",5655.0,2016-01-18T22:37:52Z,MIT License
redux-saga,22388,2028,256,859,JavaScript,"['JavaScript', 'TypeScript', 'SCSS', 'CSS']",1931.0,2015-11-29T16:58:12Z,MIT License
ember.js,22378,4286,883,10046,JavaScript,"['JavaScript', 'TypeScript', 'HTML', 'Handlebars']",21950.0,2011-05-25T23:39:40Z,MIT License
sails,22376,1968,657,925,JavaScript,"['JavaScript', 'EJS']",7160.0,2012-03-18T19:46:15Z,MIT License
mostly-adequate-guide,22353,1828,564,366,JavaScript,"['JavaScript', 'HTML', 'Perl', 'CSS']",853.0,2015-05-06T01:44:15Z,Other
octotree,22335,1872,382,385,JavaScript,"['JavaScript', 'CSS', 'Less', 'HTML']",718.0,2014-05-09T18:15:20Z,GNU Affero General Public License v3.0
go-zero,22335,3196,292,1644,Go,"['Go', 'Smarty', 'ANTLR', 'Shell', 'Makefile', 'Dockerfile']",1758.0,2020-08-07T15:37:57Z,MIT License
eShopOnContainers,22330,9610,1501,778,C#,"['C#', 'JavaScript', 'HTML', 'Dockerfile', 'TypeScript', 'CSS', 'SCSS', 'PowerShell', 'Mustache', 'Shell']",4097.0,2016-10-05T22:35:23Z,MIT License
draft-js,22314,2679,335,1363,JavaScript,"['JavaScript', 'CSS']",1201.0,2016-02-19T20:18:26Z,MIT License
guzzle,22310,2360,458,1306,PHP,"['PHP', 'JavaScript', 'Makefile', 'Dockerfile']",3617.0,2011-02-28T02:44:05Z,MIT License
linkedin-skill-assessments-quizzes,22279,12021,334,4565,Python,['Python'],5744.0,2019-07-13T19:52:56Z,GNU Affero General Public License v3.0
blog,22272,2408,5154,6,,,94.0,2014-04-25T09:44:42Z,
streamlit,22256,1992,286,2935,Python,"['Python', 'TypeScript', 'JavaScript', 'CSS', 'Makefile', 'SCSS', 'Shell', 'Dockerfile', 'HTML', 'Batchfile']",5212.0,2019-08-24T00:14:52Z,Apache License 2.0
hub,22255,2347,583,813,Go,"['Go', 'Gherkin', 'Shell', 'Ruby', 'Makefile', 'Batchfile', 'Vim Script', 'HTML', 'Dockerfile']",3329.0,2009-12-05T22:15:25Z,MIT License
tools,22235,651,194,2775,Rust,"['Rust', 'JavaScript', 'TypeScript', 'Astro', 'SCSS', 'CSS', 'Shell', 'Dockerfile', 'PowerShell']",3984.0,2020-02-20T05:57:33Z,MIT License
hosts,22229,1909,564,581,Python,"['Python', 'Batchfile', 'Shell', 'Nix', 'Dockerfile']",3274.0,2012-04-12T20:22:50Z,MIT License
servo,22211,2665,503,17471,,,44958.0,2012-02-08T19:07:25Z,Mozilla Public License 2.0
sweetalert,22200,2900,461,286,TypeScript,"['TypeScript', 'Stylus', 'JavaScript', 'CSS', 'Handlebars']",363.0,2014-09-30T11:12:48Z,MIT License
applied-ml,22190,3137,895,211,,,443.0,2020-07-04T18:57:47Z,MIT License
apollo,22168,8988,1117,10909,C++,"['C++', 'Python', 'Starlark', 'Shell', 'JavaScript', 'Cuda', 'C', 'SCSS', 'Smarty', 'HTML']",18827.0,2017-07-04T19:03:31Z,Apache License 2.0
taichi,22142,2152,401,4918,C++,"['C++', 'Python', 'C', 'CMake', 'Cuda', 'Objective-C++', 'Shell', 'GLSL', 'Objective-C', 'PowerShell']",10081.0,2016-11-24T10:00:05Z,Apache License 2.0
glances,22136,1353,494,584,Python,"['Python', 'Vue', 'JavaScript', 'Makefile', 'Dockerfile', 'SCSS', 'Batchfile', 'PowerShell', 'Shell', 'Smarty']",4568.0,2011-12-04T08:49:15Z,Other
coc.nvim,22127,902,128,1101,TypeScript,"['TypeScript', 'Vim Script', 'JavaScript', 'Python', 'Lua', 'Shell']",5586.0,2018-05-01T22:39:02Z,Other
NativeScript,22094,1602,673,3441,TypeScript,"['TypeScript', 'Java', 'JavaScript', 'Objective-C', 'CSS', 'Shell', 'HTML', 'SCSS']",7166.0,2015-03-01T09:47:08Z,MIT License
Python-programming-exercises,22093,6482,814,112,,,25.0,2012-06-14T07:56:46Z,
eslint,22068,4024,318,6573,JavaScript,"['JavaScript', 'EJS', 'HTML', 'Shell']",8751.0,2013-06-29T23:59:48Z,MIT License
algorithms,22048,4426,643,734,Python,['Python'],948.0,2016-11-17T22:32:08Z,MIT License
k3s,22046,1947,279,2546,Go,"['Go', 'Shell', 'HCL', 'Ruby', 'Dockerfile', 'Makefile']",2597.0,2018-05-31T01:37:46Z,Apache License 2.0
react-redux-links,22042,2478,740,102,,,401.0,2016-01-22T02:10:28Z,
react-navigation,22040,4835,319,1639,TypeScript,"['TypeScript', 'JavaScript']",2581.0,2017-01-26T19:51:40Z,
chosen,22006,4195,672,763,HTML,"['HTML', 'CoffeeScript', 'SCSS', 'CSS', 'Shell', 'JavaScript']",1287.0,2011-04-18T15:07:41Z,Other
wepy,22003,3069,728,689,JavaScript,"['JavaScript', 'Shell', 'TypeScript', 'HTML']",2454.0,2016-11-14T08:06:56Z,Other
clashX,21999,2802,290,49,Swift,"['Swift', 'Python', 'Objective-C', 'Go', 'Ruby', 'Shell']",789.0,2018-06-13T02:51:24Z,GNU Affero General Public License v3.0
logrus,21998,2208,317,715,Go,"['Go', 'Shell']",1227.0,2013-10-16T19:08:55Z,MIT License
Dress,21944,4295,590,948,Standard ML,"['Standard ML', 'Ruby', 'Python', 'Shell', 'Batchfile', 'C++', 'AutoHotkey']",1744.0,2018-02-11T03:49:29Z,Other
vaultwarden,21940,1099,198,672,Rust,"['Rust', 'Handlebars', 'Dockerfile', 'Shell', 'Jinja', 'Python', 'Makefile']",2285.0,2018-02-17T22:40:20Z,GNU General Public License v3.0
flow,21939,1867,408,2271,OCaml,"['OCaml', 'JavaScript', 'Shell', 'C', 'CSS', 'Makefile', 'C++', 'Dockerfile', 'Python', 'PowerShell']",15133.0,2014-10-28T17:17:45Z,MIT License
polymer,21908,2028,870,1437,HTML,"['HTML', 'JavaScript', 'Shell', 'CSS']",6878.0,2012-08-23T20:56:30Z,"BSD 3-Clause ""New"" or ""Revised"" License"
flv.js,21887,3343,619,70,JavaScript,"['JavaScript', 'TypeScript']",431.0,2016-05-12T08:34:31Z,Apache License 2.0
ML-From-Scratch,21880,4289,945,35,Python,['Python'],374.0,2017-02-05T12:11:23Z,MIT License
mocha,21857,2996,397,2039,JavaScript,"['JavaScript', 'CSS', 'HTML', 'CoffeeScript', 'TypeScript']",3598.0,2011-03-07T18:44:25Z,MIT License
cascadia-code,21814,724,247,94,Python,['Python'],196.0,2019-07-10T22:50:20Z,Other
viper,21795,1819,250,623,Go,"['Go', 'Makefile']",556.0,2014-04-02T14:33:33Z,MIT License
intro.js,21793,2624,463,1063,JavaScript,"['JavaScript', 'HTML', 'CSS', 'SCSS', 'Less', 'PHP', 'Shell']",1281.0,2013-03-10T15:12:45Z,Other
gson,21772,4171,745,730,Java,['Java'],1776.0,2015-03-19T18:21:20Z,Apache License 2.0
awesome-vscode,21762,1158,492,322,JavaScript,['JavaScript'],701.0,2016-02-07T23:02:45Z,Creative Commons Zero v1.0 Universal
remix,21761,1720,216,2452,TypeScript,"['TypeScript', 'JavaScript', 'Arc', 'Shell']",3472.0,2020-10-26T19:57:28Z,MIT License
ipfs,21753,1467,1006,153,,,403.0,2014-02-11T07:28:24Z,MIT License
SwiftyJSON,21731,3366,627,414,Swift,"['Swift', 'C', 'Ruby']",745.0,2014-06-18T14:41:15Z,MIT License
docker_practice,21728,5455,857,311,Go,['Go'],1201.0,2014-09-05T04:06:39Z,
iosched,21723,6283,1449,170,Kotlin,"['Kotlin', 'HTML', 'Shell']",3139.0,2014-04-01T22:40:40Z,Apache License 2.0
idiomatic.js,21695,3114,904,175,,,504.0,2011-05-25T17:48:59Z,Other
react-starter-kit,21688,4131,543,824,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'Shell']",41.0,2014-04-16T13:08:18Z,MIT License
windows95,21669,1264,451,58,TypeScript,"['TypeScript', 'JavaScript', 'Less', 'Dockerfile', 'Shell', 'HTML', 'PowerShell']",195.0,2018-08-23T05:04:38Z,Other
discord.js,21668,3692,430,4825,JavaScript,"['JavaScript', 'TypeScript', 'Astro', 'CSS', 'Dockerfile', 'Lua', 'Shell']",7157.0,2015-08-10T13:36:26Z,Apache License 2.0
algo,21659,6900,842,409,Python,"['Python', 'C', 'C++', 'Java', 'Scala', 'Rust', 'Go', 'PHP', 'JavaScript', 'C#']",1065.0,2018-09-24T05:33:46Z,Apache License 2.0
whisper,21649,2024,204,81,Jupyter Notebook,"['Jupyter Notebook', 'Python']",72.0,2022-09-16T20:02:54Z,MIT License
github1s,21595,771,108,273,TypeScript,"['TypeScript', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Dockerfile']",340.0,2019-06-16T09:55:25Z,MIT License
croc,21593,939,244,167,Go,"['Go', 'Shell', 'Makefile', 'Dockerfile']",1710.0,2017-10-17T15:20:18Z,MIT License
jax,21579,2027,297,8621,Python,"['Python', 'C++', 'Jupyter Notebook', 'Starlark', 'C', 'Shell', 'Dockerfile']",14502.0,2018-10-25T21:25:02Z,Apache License 2.0
localForage,21579,1222,317,372,JavaScript,"['JavaScript', 'HTML', 'TypeScript']",1124.0,2013-10-31T00:10:06Z,Apache License 2.0
jsoncrack.com,21546,1081,113,95,TypeScript,"['TypeScript', 'JavaScript', 'Dockerfile']",940.0,2022-01-30T15:25:18Z,GNU General Public License v3.0
awesome-piracy,21520,1912,678,380,HTML,"['HTML', 'Shell']",585.0,2018-10-09T22:09:56Z,Creative Commons Zero v1.0 Universal
pnpm,21517,638,119,2329,TypeScript,"['TypeScript', 'JavaScript', 'Shell', 'Batchfile']",8011.0,2016-01-28T07:40:43Z,MIT License
spleeter,21479,2355,371,107,Python,"['Python', 'Dockerfile', 'TeX', 'Jupyter Notebook', 'Shell']",496.0,2019-09-26T15:40:46Z,MIT License
rufus,21443,2185,537,183,C,"['C', 'Makefile', 'C#', 'Shell', 'Assembly', 'Batchfile', 'Python', 'M4', 'sed']",1958.0,2011-11-19T19:12:05Z,GNU General Public License v3.0
react-bootstrap,21425,3466,432,3140,TypeScript,"['TypeScript', 'JavaScript', 'SCSS', 'Shell']",4426.0,2013-12-27T19:06:07Z,MIT License
homebridge,21410,1948,654,373,TypeScript,"['TypeScript', 'JavaScript']",1450.0,2014-12-01T16:37:39Z,Apache License 2.0
dragula,21405,1989,363,189,JavaScript,"['JavaScript', 'HTML', 'CSS', 'Stylus']",366.0,2015-04-13T21:35:38Z,MIT License
bevy,21398,2111,259,3896,Rust,"['Rust', 'Shell', 'GLSL']",3664.0,2020-01-18T21:13:55Z,Apache License 2.0
react-admin,21375,4724,267,4567,TypeScript,"['TypeScript', 'JavaScript', 'Makefile', 'HTML', 'Shell']",15890.0,2016-07-13T07:58:54Z,MIT License
RedisDesktopManager,21370,3221,616,561,C++,"['C++', 'QML', 'Python', 'QMake', 'NSIS', 'JavaScript', 'C', 'Shell', 'CMake', 'Batchfile']",2162.0,2013-08-05T07:51:08Z,Other
Telegram,21360,7183,1179,578,Java,"['Java', 'C++', 'C', 'Assembly', 'Perl', 'Go', 'CMake', 'NASL', 'Objective-C++', 'Python']",472.0,2013-10-25T14:08:10Z,GNU General Public License v2.0
react-motion,21334,1197,285,228,JavaScript,"['JavaScript', 'HTML']",809.0,2015-06-11T07:38:23Z,MIT License
copilot-docs,21331,2362,396,38,,,34.0,2021-10-23T16:07:04Z,Creative Commons Attribution 4.0 International
docker-cheat-sheet,21325,4545,754,168,,,432.0,2014-08-05T20:04:20Z,Creative Commons Attribution 4.0 International
server,21319,3359,562,20048,PHP,"['PHP', 'JavaScript', 'Vue', 'Gherkin', 'SCSS', 'Shell', 'HTML', 'TypeScript', 'CSS', 'Handlebars']",65896.0,2016-06-02T07:44:14Z,GNU Affero General Public License v3.0
editor.js,21316,1663,220,913,TypeScript,"['TypeScript', 'HTML', 'CSS', 'JavaScript']",676.0,2015-11-28T20:56:35Z,Apache License 2.0
lightning,21286,2714,228,8164,Python,"['Python', 'TypeScript', 'Dockerfile', 'Shell', 'Jsonnet', 'HTML', 'Makefile', 'CSS', 'JavaScript']",8591.0,2019-03-31T00:45:57Z,Apache License 2.0
Awesome,21279,2175,707,353,,,523.0,2016-05-30T17:27:35Z,Creative Commons Zero v1.0 Universal
scrollreveal,21278,2183,421,53,JavaScript,['JavaScript'],949.0,2014-01-16T17:37:20Z,
envoy,21266,4089,607,16486,C++,"['C++', 'Starlark', 'Java', 'Python', 'NASL', 'Kotlin', 'Swift', 'Shell', 'Objective-C', 'C']",16829.0,2016-08-08T15:07:24Z,Apache License 2.0
NLP-progress,21261,3546,1273,532,Python,"['Python', 'HTML', 'Ruby']",790.0,2018-06-22T17:43:55Z,MIT License
mpv,21230,2520,480,3007,C,"['C', 'Lua', 'Python', 'Objective-C', 'Swift', 'Meson', 'Shell', 'JavaScript', 'Ruby']",49961.0,2012-10-13T08:08:44Z,Other
